id,report,label
1,"Premise: Many people in costumes are smiling at a party.

Empty costumes are displayed in an storage room.",2
2,"Premise: Jazz quartet on black stage plays music and entertains a lone male dancer wearing a white shirt with red and black print while a dark-haired man with a mustache observes from the side.

A huge crowd is dancing around in a frenzy in front of a heavy rock band.",2
3,"Premise: An overweight man, wearing a blue and white soccer uniform, is playing soccer and there is a red circle drawn on the grass near where he is standing.

A man is playing soccer in the gymnasium.",-1
4,"Premise: Two beautiful women, one is wearing white and other is wearing black tops have some good time at a restaurant.

There are two women in fancy clothing in a restaurant together.",1
5,"Premise: A young girl sitting on a small chair surrounded by what looks like handmade fabrics and bags.

A girl shows off her handmade fabric and bags.",1
6,"Premise: A group of people with torches are standing outside at night.

people are outside",0
7,"Premise: A boy wearing a red shirt runs across the grass with a furry dog.

A boy is playing with his dog at a park.",1
8,"Premise: A young girl wearing a white dress runs on the green grass near a forest.

A girl in a dress runs near a forest.",0
9,"Premise: A white dog is watching a black dog jump on a lawn next to a pile of large rocks.

Two black dogs play tug with a rope;",2
10,"Premise: A little boy skateboarder is doing a trick on his board while another young skateboarder watches.

A girl is sitting on a skateboard watching TV.",2
